ps_count,ps_lv_only,ps_complete,cand_women,cand_men,cand_total,el_registered,el_postal_ballots,bl_in_box,bl_valid,bl_blank,bl_invalid,bl_postal,vot_count,vot_total_cast
4,0,0,26,47,73,1387,314,1223,1107,52,64,305,7749,7341
2,0,0,26,47,73,817,215,755,718,16,21,210,5026,4901
5,0,0,39,51,90,1646,561,1505,1421,44,40,536,12789,12365
4,0,0,26,47,73,1055,301,983,915,30,38,296,6405,6116
7,0,0,92,118,210,3379,805,2809,2647,65,97,777,55587,52148
17,0,0,121,155,276,5592,1283,4883,4530,165,188,1244,104190,98135
4,0,0,39,51,90,1523,367,1377,1255,62,60,351,11295,10783
5,0,0,26,47,73,2169,603,1907,1806,44,57,578,12642,12316
4,0,0,92,118,210,1851,434,1624,1487,65,72,426,31227,27982
3,0,0,26,47,73,1096,330,993,935,22,36,315,6545,6300
3,0,0,39,51,90,866,224,792,740,23,29,219,6660,6347
2,0,0,39,51,90,934,222,850,800,23,27,200,7200,6944
4,0,0,26,47,73,1739,524,1600,1511,36,53,507,10577,10172
8,0,0,39,51,90,3171,830,2806,2612,98,96,807,23508,22440
3,0,0,92,118,210,1141,332,1053,955,43,55,325,20055,17497
3,0,0,26,47,73,1217,310,1086,1024,21,41,305,7168,6925
6,0,0,92,118,210,2297,643,1974,1881,47,46,612,39501,36663
3,0,0,26,47,73,1328,282,1196,1115,31,50,282,7805,7494
8,0,0,39,51,90,3538,866,2961,2724,99,138,836,24516,23573
29,0,0,121,155,276,11133,2113,9678,8547,501,630,2053,196581,179796
6,0,0,121,155,276,2413,627,2154,2011,54,89,600,46253,41905
29,0,0,121,155,276,10983,2618,9756,8923,365,468,2549,205229,188639
8,0,0,26,47,73,2594,622,2156,2009,62,85,592,14063,13512
2,0,0,39,51,90,922,240,870,800,43,27,235,7200,6932
4,0,0,39,51,90,1477,424,1300,1245,31,24,395,11205,10726
38,0,0,121,155,276,13159,2064,11038,9748,521,769,1977,224204,204725
4,0,0,39,51,90,1702,560,1557,1434,56,67,543,12906,12352
9,0,0,39,51,90,4321,896,3597,3264,138,195,868,29376,28341
3,0,0,39,51,90,1369,400,1279,1184,46,49,395,10656,9982
2,0,0,92,118,210,679,184,645,603,17,25,176,12663,11589
3,0,0,26,47,73,1253,315,1152,1080,32,40,301,7560,7331
6,0,0,121,155,276,2589,628,2317,2185,60,72,608,50255,47425
3,0,0,121,155,276,1319,515,1237,1161,42,34,513,26703,24520
2,0,0,39,51,90,1041,286,984,899,47,38,282,8091,7669
6,0,0,26,47,73,2580,620,2226,2089,43,94,603,14623,14035
4,0,0,39,51,90,1387,445,1291,1200,46,45,339,10800,10429
2,0,0,92,118,210,825,203,764,711,22,31,202,14931,13486
6,0,0,92,118,210,2774,848,2592,2442,69,81,822,51282,47281
19,0,0,92,118,210,6294,1432,5285,4992,100,193,1358,104832,97482
6,0,0,121,155,276,2698,666,2434,2273,74,87,657,52279,47883
12,0,0,26,47,73,4397,1256,3914,3766,63,85,1224,26362,25642
16,0,0,121,155,276,6290,1704,5568,5217,184,167,1664,119991,111022
10,0,0,121,155,276,5065,1066,4499,4063,208,228,1051,93449,85525
9,0,0,121,155,276,3472,809,2910,2745,62,103,766,63135,61297
2,0,0,39,51,90,697,140,644,596,25,23,138,5364,5145
3,0,0,121,155,276,1440,437,1320,1227,45,48,430,28221,26120
5,0,0,121,155,276,1766,475,1472,1393,26,53,456,32039,30858
4,0,0,39,51,90,1238,299,1139,1066,37,36,292,9594,9147
2,0,0,92,118,210,838,182,758,688,25,45,175,14448,12966
3,0,0,26,47,73,1191,323,1037,982,23,32,310,6874,6652
3,0,0,121,155,276,1295,340,1142,1069,31,42,330,24587,22446
3,0,0,92,118,210,1631,494,1496,1388,47,61,479,29148,26626
5,0,0,92,118,210,2216,668,1894,1769,54,71,645,37149,34456
88,0,0,92,118,210,33759,7549,27175,25190,614,1371,6666,528990,495225
12,0,0,121,155,276,4301,1289,3755,3563,71,121,1242,81949,76829
3,0,0,26,47,73,1355,344,1197,1125,31,41,330,7875,7601
11,0,0,92,118,210,5161,1329,4526,4203,121,202,1297,88263,80874
6,0,0,26,47,73,2643,587,2339,2162,73,104,584,15134,14520
3,0,0,39,51,90,1327,422,1209,1103,52,54,411,9927,9440
11,0,0,121,155,276,4187,1032,3717,3474,131,112,965,79902,75107
7,0,0,26,47,73,2646,490,2188,2033,70,85,470,14231,13678
8,0,0,92,118,210,3166,916,2622,2522,28,72,861,52962,49941
3,0,0,92,118,210,920,240,859,819,18,22,237,17199,15896
6,0,0,39,51,90,2362,554,2190,2024,66,100,543,18216,17097
21,0,0,121,155,276,8588,1875,7565,6741,366,458,1828,155043,140175
3,0,0,39,51,90,1113,394,1035,992,28,15,387,8928,8473
2,0,0,39,51,90,678,178,634,588,21,25,176,5292,5106
8,0,0,39,51,90,2544,604,2308,2146,60,102,598,19314,18439
4,0,0,121,155,276,1714,527,1538,1469,39,30,511,33787,31103
4,0,0,39,51,90,1829,451,1621,1517,51,53,442,13653,13273
2,0,0,39,51,90,661,146,599,533,28,38,141,4797,4657
4,0,0,26,47,73,1866,405,1535,1446,36,53,387,10122,9657
8,0,0,121,155,276,3328,722,2870,2689,78,103,701,61847,59218
7,0,0,26,47,73,2153,982,2008,1896,47,65,670,13272,12757
7,0,0,121,155,276,2541,476,2314,2056,89,169,464,47288,42666
1,0,0,39,51,90,550,134,522,504,12,6,133,4536,4442
4,0,0,92,118,210,1664,458,1418,1320,28,70,451,27720,25776
28,0,0,121,155,276,9499,2280,8458,7688,339,431,2218,176824,162874
10,0,0,26,47,73,2956,756,2673,2528,65,80,741,17696,17079
2,0,0,39,51,90,1127,314,1044,965,38,41,308,8685,8180
12,0,0,121,155,276,5550,1420,4825,4387,204,234,1393,100901,92709
5,0,0,92,118,210,1944,594,1665,1590,19,56,575,33390,31539
2,0,0,26,47,73,1128,296,1003,958,21,24,287,6706,6481
8,0,0,121,155,276,2962,729,2650,2485,91,74,723,57155,53096
6,0,0,92,118,210,2819,1053,2462,2335,61,66,1013,49035,46052
10,0,0,92,118,210,3423,813,2870,2699,57,114,779,56679,53579
3,0,0,39,51,90,1222,345,1138,1068,35,35,338,9612,9148
4,0,0,39,51,90,1570,327,1403,1289,48,66,322,11601,10885
3,0,0,39,51,90,1276,372,1180,1096,34,50,360,9864,9454
4,0,0,39,51,90,1379,313,1277,1194,47,36,309,10746,10312
2,0,0,39,51,90,920,170,724,662,31,31,164,5958,5711
2,0,0,39,51,90,814,243,777,740,19,18,240,6660,6385
3,0,0,26,47,73,1071,253,984,925,26,33,243,6475,6325
11,0,0,92,118,210,3538,871,3046,2866,58,122,838,60186,56673
4,0,0,92,118,210,1368,423,1238,1160,21,57,408,24360,22342
3,0,0,39,51,90,1050,256,953,878,29,46,249,7902,7578
7,0,0,39,51,90,3282,700,2814,2497,160,157,683,22473,21057
7,0,0,39,51,90,2714,664,2485,2306,85,94,656,20754,19660
2,0,0,39,51,90,672,122,617,575,20,22,119,5175,4950
5,0,0,26,47,73,1605,426,1456,1386,38,32,403,9702,9277
