fid	dist	x	y	value_s
0	0	77753.6929091	74668.03819589457	{1: 251.4975128173828}
0	1.0	77753.96365554657	74669.00084659013	{1: 251.46499633789062}
0	2.0	77754.23440199313	74669.9634972857	{1: 251.37750244140625}
0	3.0	77754.50514843968	74670.92614798127	{1: 251.33999633789062}
0	4.0	77754.77589488625	74671.88879867682	{1: 251.5175018310547}
0	5.0	77755.04664133281	74672.85144937239	{1: 251.20750427246094}
0	6.0	77755.31738777937	74673.81410006796	{1: 251.36500549316406}
0	7.0	77755.58813422594	74674.77675076353	{1: 251.52000427246094}
0	8.0	77755.85888067249	74675.7394014591	{1: 251.15750122070312}
0	9.0	77756.12962711905	74676.70205215467	{1: 250.7949981689453}
0	10.0	77756.40037356562	74677.66470285023	{1: 250.66500854492188}
0	11.0	77756.67112001218	74678.6273535458	{1: 250.52499389648438}
0	12.0	77756.94186645874	74679.59000424136	{1: 250.39999389648438}
0	13.0	77757.21261290529	74680.55265493692	{1: 250.27999877929688}
0	14.0	77757.48335935186	74681.51530563249	{1: 250.20750427246094}
0	15.0	77757.75410579842	74682.47795632806	{1: 250.15249633789062}
0	16.0	77758.02485224498	74683.44060702363	{1: 250.09750366210938}
0	17.0	77758.29559869155	74684.4032577192	{1: 250.0175018310547}
0	18.0	77758.5663451381	74685.36590841477	{1: 249.9300079345703}
0	19.0	77758.83709158466	74686.32855911033	{1: 249.86500549316406}
0	20.0	77759.10783803122	74687.29120980589	{1: 249.77000427246094}
0	21.0	77759.37858447779	74688.25386050146	{1: 249.6699981689453}
0	22.0	77759.64933092435	74689.21651119702	{1: 249.59500122070312}
0	23.0	77759.9200773709	74690.17916189259	{1: 249.5225067138672}
0	24.0	77760.19082381747	74691.14181258816	{1: 249.5124969482422}
0	25.0	77760.46157026403	74692.10446328373	{1: 249.4550018310547}
0	26.0	77760.7323167106	74693.0671139793	{1: 249.3925018310547}
0	27.0	77761.00306315716	74694.02976467487	{1: 249.41250610351562}
0	28.0	77761.2738096037	74694.99241537042	{1: 249.41250610351562}
0	29.0	77761.54455605027	74695.95506606599	{1: 249.3574981689453}
0	30.0	77761.81530249683	74696.91771676156	{1: 249.29750061035156}
0	31.0	77762.0860489434	74697.88036745712	{1: 249.302490234375}
0	32.0	77762.35679538996	74698.8430181527	{1: 249.27999877929688}
0	33.0	77762.62754183651	74699.80566884826	{1: 249.27749633789062}
0	34.0	77762.89828828308	74700.76831954383	{1: 249.23500061035156}
0	35.0	77763.16903472964	74701.7309702394	{1: 253.7415008544922}
0	36.0	77763.4397811762	74702.69362093495	{1: 255.74346923828125}
0	37.0	77763.71052762277	74703.65627163052	{1: 255.9499969482422}
0	38.0	77763.98127406933	74704.61892232609	{1: 252.14999389648438}
0	39.0	77764.25202051588	74705.58157302166	{1: 255.87750244140625}
0	40.0	77764.52276696244	74706.54422371722	{1: 251.6300048828125}
0	41.0	77764.79351340901	74707.5068744128	{1: 247.96249389648438}
0	42.0	77765.06425985557	74708.46952510836	{1: 247.70750427246094}
0	43.0	77765.33500630214	74709.43217580393	{1: 249.03488159179688}
0	44.0	77765.60575274868	74710.39482649948	{1: 253.285400390625}
0	45.0	77765.87649919525	74711.35747719505	{1: 257.1482238769531}
0	46.0	77766.14724564181	74712.32012789062	{1: 261.61749267578125}
0	47.0	77766.41799208838	74713.28277858619	{1: 263.2975158691406}
0	48.0	77766.68873853494	74714.24542928176	{1: 263.5824890136719}
0	49.0	77766.95948498149	74715.20807997732	{1: 262.05499267578125}
0	50.0	77767.23023142805	74716.1707306729	{1: 261.6824951171875}
0	51.0	77767.50097787462	74717.13338136846	{1: 262.0474853515625}
0	52.0	77767.77172432118	74718.09603206402	{1: 262.9725036621094}
0	53.0	77768.04247076774	74719.05868275958	{1: 263.760009765625}
0	54.0	77768.3132172143	74720.02133345515	{1: 262.7174987792969}
0	55.0	77768.58396366086	74720.98398415072	{1: 262.7174987792969}
0	56.0	77768.85471010742	74721.94663484629	{1: 260.6925048828125}
0	57.0	77769.12545655399	74722.90928554186	{1: 259.3374938964844}
0	58.0	77769.39620300055	74723.87193623742	{1: 259.5950012207031}
0	59.0	77769.6669494471	74724.834586933	{1: 258.1474914550781}
0	60.0	77769.93769589366	74725.79723762855	{1: 254.239990234375}
0	61.0	77770.20844234023	74726.75988832412	{1: 251.08999633789062}
0	62.0	77770.47918878679	74727.72253901968	{1: 248.484619140625}
0	63.0	77770.74993523335	74728.68518971525	{1: 245.32461547851562}
0	64.0	77771.0206816799	74729.64784041082	{1: 244.1635284423828}
0	65.0	77771.29142812647	74730.61049110639	{1: 244.13255310058594}
0	66.0	77771.56217457303	74731.57314180196	{1: 244.10902404785156}
0	67.0	77771.8329210196	74732.53579249753	{1: 244.09500122070312}
0	68.0	77772.10366746616	74733.49844319308	{1: 244.17222595214844}
0	69.0	77772.37441391271	74734.46109388865	{1: 244.22723388671875}
0	70.0	77772.64516035927	74735.42374458422	{1: 244.17250061035156}
0	71.0	77772.91590680584	74736.38639527978	{1: 244.0124969482422}
0	72.0	77773.1866532524	74737.34904597535	{1: 243.8524932861328}
0	73.0	77773.45739969896	74738.31169667092	{1: 243.82749938964844}
0	74.0	77773.72814614551	74739.27434736649	{1: 244.4375}
0	75.0	77773.99889259208	74740.23699806206	{1: 244.885009765625}
0	76.0	77774.26963903864	74741.19964875761	{1: 243.58999633789062}
0	77.0	77774.5403854852	74742.16229945318	{1: 243.83999633789062}
0	78.0	77774.81113193177	74743.12495014875	{1: 244.14999389648438}
0	79.0	77775.08187837832	74744.08760084432	{1: 244.30166625976562}
0	80.0	77775.35262482488	74745.05025153988	{1: 246.5641632080078}
0	81.0	77775.62337127145	74746.01290223545	{1: 247.35629272460938}
0	82.0	77775.89411771801	74746.97555293102	{1: 247.35629272460938}
0	83.0	77776.16486416457	74747.93820362659	{1: 253.0063018798828}
0	84.0	77776.43561061112	74748.90085432214	{1: 253.75}
0	85.0	77776.70635705769	74749.86350501771	{1: 252.77499389648438}
0	86.0	77776.97710350425	74750.82615571328	{1: 252.76634216308594}
0	87.0	77777.24784995081	74751.78880640885	{1: 254.27999877929688}
0	88.0	77777.51859639738	74752.75145710442	{1: 255.53250122070312}
0	89.0	77777.78934284393	74753.71410779998	{1: 255.8824920654297}
0	90.0	77778.06008929049	74754.67675849555	{1: 256.44500732421875}
0	91.0	77778.33083573706	74755.63940919112	{1: 256.9524841308594}
0	92.0	77778.60158218362	74756.60205988667	{1: 256.67498779296875}
0	93.0	77778.87232863018	74757.56471058224	{1: 255.61749267578125}
0	94.0	77779.14307507673	74758.52736127781	{1: 253.20875549316406}
0	95.0	77779.4138215233	74759.49001197338	{1: 247.89694213867188}
0	96.0	77779.68456796986	74760.45266266895	{1: 243.67767333984375}
0	97.0	77779.95531441642	74761.41531336452	{1: 242.96449279785156}
0	98.0	77780.22606086299	74762.37796406008	{1: 243.08242797851562}
0	99.0	77780.49680730954	74763.34061475564	{1: 243.3115692138672}
0	100.0	77780.7675537561	74764.3032654512	{1: 244.12635803222656}
0	101.0	77781.03830020266	74765.26591614677	{1: 245.43190002441406}
0	102.0	77781.30904664923	74766.22856684234	{1: 244.80711364746094}
0	103.0	77781.57979309579	74767.19121753791	{1: 243.85060119628906}
0	104.0	77781.85053954236	74768.15386823348	{1: 243.50450134277344}
0	105.0	77782.1212859889	74769.11651892905	{1: 248.33309936523438}
0	106.0	77782.39203243547	74770.07916962462	{1: 250.51893615722656}
0	107.0	77782.66277888203	74771.04182032017	{1: 251.5074920654297}
0	108.0	77782.9335253286	74772.00447101574	{1: 251.90499877929688}
0	109.0	77783.20427177516	74772.9671217113	{1: 253.92250061035156}
0	110.0	77783.47501822171	74773.92977240687	{1: 253.5074920654297}
0	111.0	77783.74576466827	74774.89242310244	{1: 252.3175048828125}
0	112.0	77784.01651111484	74775.85507379801	{1: 251.60000610351562}
0	113.0	77784.2872575614	74776.81772449358	{1: 249.37750244140625}
0	114.0	77784.55800400797	74777.78037518915	{1: 247.1374969482422}
0	115.0	77784.82875045452	74778.7430258847	{1: 251.42750549316406}
0	116.0	77785.09949690108	74779.70567658027	{1: 258.38250732421875}
0	117.0	77785.37024334764	74780.66832727584	{1: 258.9674987792969}
0	118.0	77785.6409897942	74781.6309779714	{1: 260.2200012207031}
0	119.0	77785.91173624077	74782.59362866697	{1: 260.9849853515625}
0	120.0	77786.18248268732	74783.55627936254	{1: 262.3275146484375}
0	121.0	77786.45322913388	74784.51893005811	{1: 263.7749938964844}
0	122.0	77786.72397558045	74785.48158075368	{1: 264.20501708984375}
0	123.0	77786.99472202701	74786.44423144923	{1: 264.5249938964844}
0	124.0	77787.26546847358	74787.4068821448	{1: 264.2875061035156}
0	125.0	77787.53621492012	74788.36953284037	{1: 265.3999938964844}
0	126.0	77787.80696136669	74789.33218353594	{1: 265.5350036621094}
0	127.0	77788.07770781325	74790.2948342315	{1: 265.1925048828125}
0	128.0	77788.34845425982	74791.25748492707	{1: 264.30999755859375}
0	129.0	77788.61920070638	74792.22013562264	{1: 262.80999755859375}
0	130.0	77788.88994715293	74793.18278631821	{1: 261.7699890136719}
0	131.0	77789.1606935995	74794.14543701377	{1: 259.6300048828125}
0	132.0	77789.43144004606	74795.10808770933	{1: 258.510009765625}
0	133.0	77789.70218649262	74796.0707384049	{1: 258.0050048828125}
0	134.0	77789.97293293918	74797.03338910047	{1: 258.05499267578125}
0	135.0	77790.24367938573	74797.99603979604	{1: 257.0950012207031}
0	136.0	77790.5144258323	74798.9586904916	{1: 256.0400085449219}
0	137.0	77790.78517227886	74799.92134118718	{1: 255.86749267578125}
0	138.0	77791.05591872543	74800.88399188274	{1: 257.3125}
0	139.0	77791.32666517199	74801.8466425783	{1: 257.44500732421875}
0	140.0	77791.59741161854	74802.80929327387	{1: 257.7200012207031}
0	141.0	77791.8681580651	74803.77194396943	{1: 257.4725036621094}
0	142.0	77792.13890451167	74804.734594665	{1: 257.177490234375}
0	143.0	77792.40965095823	74805.69724536057	{1: 258.5}
0	144.0	77792.6803974048	74806.65989605614	{1: 260.0374755859375}
0	145.0	77792.95114385134	74807.6225467517	{1: 260.0950012207031}
0	146.0	77793.22189029791	74808.58519744728	{1: 261.62249755859375}
0	147.0	77793.49263674447	74809.54784814283	{1: 259.6650085449219}
0	148.0	77793.76338319104	74810.5104988384	{1: 257.2624816894531}
0	149.0	77794.0341296376	74811.47314953397	{1: 260.0299987792969}
0	150.0	77794.30487608415	74812.43580022953	{1: 259.1374816894531}
0	151.0	77794.57562253071	74813.3984509251	{1: 256.7149963378906}
0	152.0	77794.84636897728	74814.36110162067	{1: 254.1175079345703}
0	153.0	77795.11711542384	74815.32375231624	{1: 252.80499267578125}
0	154.0	77795.3878618704	74816.2864030118	{1: 249.71249389648438}
0	155.0	77795.65860831695	74817.24905370736	{1: 248.7624969482422}
0	156.0	77795.92935476352	74818.21170440293	{1: 248.90499877929688}
0	157.0	77796.20010121008	74819.1743550985	{1: 252.58250427246094}
0	158.0	77796.47084765664	74820.13700579407	{1: 255.24000549316406}
0	159.0	77796.74159410321	74821.09965648963	{1: 255.74000549316406}
0	160.0	77797.01234054976	74822.0623071852	{1: 256.10748291015625}
0	161.0	77797.28308699632	74823.02495788077	{1: 256.44500732421875}
0	162.0	77797.55383344289	74823.98760857634	{1: 256.44500732421875}
0	163.0	77797.82457988945	74824.95025927189	{1: 256.5950012207031}
0	164.0	77798.09532633601	74825.91290996746	{1: 255.89749145507812}
0	165.0	77798.36607278256	74826.87556066303	{1: 254.7624969482422}
0	166.0	77798.63681922913	74827.8382113586	{1: 253.97499084472656}
0	167.0	77798.90756567569	74828.80086205417	{1: 251.78250122070312}
0	168.0	77799.17831212225	74829.76351274973	{1: 247.49501037597656}
0	169.0	77799.44905856882	74830.7261634453	{1: 247.5124969482422}
0	170.0	77799.71980501538	74831.68881414087	{1: 247.58749389648438}
0	171.0	77799.99055146193	74832.65146483642	{1: 247.65499877929688}
0	172.0	77800.2612979085	74833.614115532	{1: 247.677490234375}
0	173.0	77800.53204435506	74834.57676622756	{1: 247.6699981689453}
0	174.0	77800.80279080162	74835.53941692313	{1: 247.65499877929688}
0	175.0	77801.07353724819	74836.5020676187	{1: 247.6649932861328}
0	176.0	77801.34428369474	74837.46471831427	{1: 247.6374969482422}
0	177.0	77801.6150301413	74838.42736900983	{1: 247.6300048828125}
0	178.0	77801.88577658786	74839.3900197054	{1: 247.67250061035156}
0	179.0	77802.15652303443	74840.35267040096	{1: 249.57249450683594}
0	180.0	77802.42726948099	74841.31532109652	{1: 250.5749969482422}
0	181.0	77802.69801592754	74842.2779717921	{1: 253.2100067138672}
0	182.0	77802.9687623741	74843.24062248766	{1: 255.68499755859375}
0	183.0	77803.23950882067	74844.20327318323	{1: 255.35000610351562}
0	184.0	77803.51025526723	74845.1659238788	{1: 255.34500122070312}
0	185.0	77803.7810017138	74846.12857457437	{1: 255.6300048828125}
0	186.0	77804.05174816035	74847.09122526993	{1: 256.25750732421875}
0	187.0	77804.32249460691	74848.05387596549	{1: 260.75750732421875}
0	188.0	77804.59324105347	74849.01652666106	{1: 265.30999755859375}
0	189.0	77804.86398750004	74849.97917735662	{1: 265.30999755859375}
0	190.0	77805.1347339466	74850.9418280522	{1: 265.44000244140625}
0	191.0	77805.40548039315	74851.90447874776	{1: 265.7325134277344}
0	192.0	77805.67622683971	74852.86712944333	{1: 265.6349792480469}
0	193.0	77805.94697328628	74853.8297801389	{1: 265.4200134277344}
0	194.0	77806.21771973284	74854.79243083447	{1: 265.6075134277344}
0	195.0	77806.4884661794	74855.75508153002	{1: 265.864990234375}
0	196.0	77806.75921262596	74856.71773222559	{1: 265.8849792480469}
0	197.0	77807.02995907252	74857.68038292116	{1: 265.9700012207031}
0	198.0	77807.30070551908	74858.64303361673	{1: 265.9200134277344}
0	199.0	77807.57145196565	74859.6056843123	{1: 266.1549987792969}
0	200.0	77807.84219841221	74860.56833500786	{1: 266.5325012207031}
1	0	77744.06640214434	74670.74566036017	{1: 257.7174987792969}
1	1.0	77744.3371485909	74671.70831105574	{1: 258.5274963378906}
1	2.0	77744.60789503746	74672.67096175131	{1: 258.489990234375}
1	3.0	77744.87864148401	74673.63361244688	{1: 258.8230285644531}
