fid	dist	x	y	value_s
0	0	77753.6929091	74668.03819589457	{1: 135.0, 2: 131.0, 3: 126.0, 4: 255.0}
0	1.0	77753.96365554657	74669.00084659013	{1: 145.0, 2: 137.0, 3: 130.0, 4: 255.0}
0	2.0	77754.23440199313	74669.9634972857	{1: 73.0, 2: 66.0, 3: 66.0, 4: 255.0}
0	3.0	77754.50514843968	74670.92614798127	{1: 139.0, 2: 130.0, 3: 121.0, 4: 255.0}
0	4.0	77754.77589488625	74671.88879867682	{1: 139.0, 2: 130.0, 3: 121.0, 4: 255.0}
0	5.0	77755.04664133281	74672.85144937239	{1: 128.0, 2: 123.0, 3: 114.0, 4: 255.0}
0	6.0	77755.31738777937	74673.81410006796	{1: 134.0, 2: 128.0, 3: 116.0, 4: 255.0}
0	7.0	77755.58813422594	74674.77675076353	{1: 57.0, 2: 55.0, 3: 50.0, 4: 255.0}
0	8.0	77755.85888067249	74675.7394014591	{1: 136.0, 2: 127.0, 3: 115.0, 4: 255.0}
0	9.0	77756.12962711905	74676.70205215467	{1: 80.0, 2: 74.0, 3: 60.0, 4: 255.0}
0	10.0	77756.40037356562	74677.66470285023	{1: 97.0, 2: 96.0, 3: 84.0, 4: 255.0}
0	11.0	77756.67112001218	74678.6273535458	{1: 89.0, 2: 86.0, 3: 82.0, 4: 255.0}
0	12.0	77756.94186645874	74679.59000424136	{1: 121.0, 2: 117.0, 3: 115.0, 4: 255.0}
0	13.0	77757.21261290529	74680.55265493692	{1: 145.0, 2: 140.0, 3: 136.0, 4: 255.0}
0	14.0	77757.48335935186	74681.51530563249	{1: 139.0, 2: 134.0, 3: 132.0, 4: 255.0}
0	15.0	77757.75410579842	74682.47795632806	{1: 132.0, 2: 128.0, 3: 125.0, 4: 255.0}
0	16.0	77758.02485224498	74683.44060702363	{1: 129.0, 2: 125.0, 3: 123.0, 4: 255.0}
0	17.0	77758.29559869155	74684.4032577192	{1: 128.0, 2: 124.0, 3: 122.0, 4: 255.0}
0	18.0	77758.5663451381	74685.36590841477	{1: 129.0, 2: 126.0, 3: 124.0, 4: 255.0}
0	19.0	77758.83709158466	74686.32855911033	{1: 129.0, 2: 125.0, 3: 123.0, 4: 255.0}
0	20.0	77759.10783803122	74687.29120980589	{1: 125.0, 2: 119.0, 3: 114.0, 4: 255.0}
0	21.0	77759.37858447779	74688.25386050146	{1: 142.0, 2: 134.0, 3: 126.0, 4: 255.0}
0	22.0	77759.64933092435	74689.21651119702	{1: 133.0, 2: 126.0, 3: 121.0, 4: 255.0}
0	23.0	77759.9200773709	74690.17916189259	{1: 128.0, 2: 121.0, 3: 117.0, 4: 255.0}
0	24.0	77760.19082381747	74691.14181258816	{1: 128.0, 2: 123.0, 3: 121.0, 4: 255.0}
0	25.0	77760.46157026403	74692.10446328373	{1: 131.0, 2: 127.0, 3: 126.0, 4: 255.0}
0	26.0	77760.7323167106	74693.0671139793	{1: 115.0, 2: 113.0, 3: 112.0, 4: 255.0}
0	27.0	77761.00306315716	74694.02976467487	{1: 105.0, 2: 105.0, 3: 107.0, 4: 255.0}
0	28.0	77761.2738096037	74694.99241537042	{1: 116.0, 2: 114.0, 3: 114.0, 4: 255.0}
0	29.0	77761.54455605027	74695.95506606599	{1: 117.0, 2: 114.0, 3: 114.0, 4: 255.0}
0	30.0	77761.81530249683	74696.91771676156	{1: 111.0, 2: 107.0, 3: 108.0, 4: 255.0}
0	31.0	77762.0860489434	74697.88036745712	{1: 123.0, 2: 118.0, 3: 116.0, 4: 255.0}
0	32.0	77762.35679538996	74698.8430181527	{1: 150.0, 2: 142.0, 3: 137.0, 4: 255.0}
0	33.0	77762.62754183651	74699.80566884826	{1: 95.0, 2: 87.0, 3: 81.0, 4: 255.0}
0	34.0	77762.89828828308	74700.76831954383	{1: 173.0, 2: 164.0, 3: 156.0, 4: 255.0}
0	35.0	77763.16903472964	74701.7309702394	{1: 170.0, 2: 158.0, 3: 149.0, 4: 255.0}
0	36.0	77763.4397811762	74702.69362093495	{1: 109.0, 2: 102.0, 3: 87.0, 4: 255.0}
0	37.0	77763.71052762277	74703.65627163052	{1: 80.0, 2: 75.0, 3: 60.0, 4: 255.0}
0	38.0	77763.98127406933	74704.61892232609	{1: 94.0, 2: 91.0, 3: 76.0, 4: 255.0}
0	39.0	77764.25202051588	74705.58157302166	{1: 50.0, 2: 51.0, 3: 48.0, 4: 255.0}
0	40.0	77764.52276696244	74706.54422371722	{1: 52.0, 2: 53.0, 3: 49.0, 4: 255.0}
0	41.0	77764.79351340901	74707.5068744128	{1: 42.0, 2: 44.0, 3: 45.0, 4: 255.0}
0	42.0	77765.06425985557	74708.46952510836	{1: 42.0, 2: 44.0, 3: 44.0, 4: 255.0}
0	43.0	77765.33500630214	74709.43217580393	{1: 48.0, 2: 55.0, 3: 48.0, 4: 255.0}
0	44.0	77765.60575274868	74710.39482649948	{1: 59.0, 2: 69.0, 3: 60.0, 4: 255.0}
0	45.0	77765.87649919525	74711.35747719505	{1: 81.0, 2: 93.0, 3: 78.0, 4: 255.0}
0	46.0	77766.14724564181	74712.32012789062	{1: 81.0, 2: 91.0, 3: 79.0, 4: 255.0}
0	47.0	77766.41799208838	74713.28277858619	{1: 94.0, 2: 104.0, 3: 95.0, 4: 255.0}
0	48.0	77766.68873853494	74714.24542928176	{1: 43.0, 2: 47.0, 3: 45.0, 4: 255.0}
0	49.0	77766.95948498149	74715.20807997732	{1: 94.0, 2: 107.0, 3: 91.0, 4: 255.0}
0	50.0	77767.23023142805	74716.1707306729	{1: 46.0, 2: 54.0, 3: 41.0, 4: 255.0}
0	51.0	77767.50097787462	74717.13338136846	{1: 71.0, 2: 79.0, 3: 63.0, 4: 255.0}
0	52.0	77767.77172432118	74718.09603206402	{1: 102.0, 2: 116.0, 3: 95.0, 4: 255.0}
0	53.0	77768.04247076774	74719.05868275958	{1: 61.0, 2: 71.0, 3: 60.0, 4: 255.0}
0	54.0	77768.3132172143	74720.02133345515	{1: 38.0, 2: 45.0, 3: 35.0, 4: 255.0}
0	55.0	77768.58396366086	74720.98398415072	{1: 35.0, 2: 36.0, 3: 31.0, 4: 255.0}
0	56.0	77768.85471010742	74721.94663484629	{1: 42.0, 2: 48.0, 3: 45.0, 4: 255.0}
0	57.0	77769.12545655399	74722.90928554186	{1: 40.0, 2: 48.0, 3: 41.0, 4: 255.0}
0	58.0	77769.39620300055	74723.87193623742	{1: 63.0, 2: 72.0, 3: 64.0, 4: 255.0}
0	59.0	77769.6669494471	74724.834586933	{1: 56.0, 2: 68.0, 3: 59.0, 4: 255.0}
0	60.0	77769.93769589366	74725.79723762855	{1: 37.0, 2: 46.0, 3: 44.0, 4: 255.0}
0	61.0	77770.20844234023	74726.75988832412	{1: 41.0, 2: 45.0, 3: 49.0, 4: 255.0}
0	62.0	77770.47918878679	74727.72253901968	{1: 41.0, 2: 45.0, 3: 49.0, 4: 255.0}
0	63.0	77770.74993523335	74728.68518971525	{1: 40.0, 2: 43.0, 3: 47.0, 4: 255.0}
0	64.0	77771.0206816799	74729.64784041082	{1: 40.0, 2: 43.0, 3: 47.0, 4: 255.0}
0	65.0	77771.29142812647	74730.61049110639	{1: 37.0, 2: 40.0, 3: 45.0, 4: 255.0}
0	66.0	77771.56217457303	74731.57314180196	{1: 46.0, 2: 47.0, 3: 50.0, 4: 255.0}
0	67.0	77771.8329210196	74732.53579249753	{1: 45.0, 2: 43.0, 3: 46.0, 4: 255.0}
0	68.0	77772.10366746616	74733.49844319308	{1: 53.0, 2: 46.0, 3: 37.0, 4: 255.0}
0	69.0	77772.37441391271	74734.46109388865	{1: 142.0, 2: 131.0, 3: 118.0, 4: 255.0}
0	70.0	77772.64516035927	74735.42374458422	{1: 78.0, 2: 69.0, 3: 53.0, 4: 255.0}
0	71.0	77772.91590680584	74736.38639527978	{1: 174.0, 2: 164.0, 3: 139.0, 4: 255.0}
0	72.0	77773.1866532524	74737.34904597535	{1: 198.0, 2: 181.0, 3: 158.0, 4: 255.0}
0	73.0	77773.45739969896	74738.31169667092	{1: 59.0, 2: 56.0, 3: 45.0, 4: 255.0}
0	74.0	77773.72814614551	74739.27434736649	{1: 129.0, 2: 125.0, 3: 113.0, 4: 255.0}
0	75.0	77773.99889259208	74740.23699806206	{1: 96.0, 2: 91.0, 3: 75.0, 4: 255.0}
0	76.0	77774.26963903864	74741.19964875761	{1: 167.0, 2: 159.0, 3: 141.0, 4: 255.0}
0	77.0	77774.5403854852	74742.16229945318	{1: 77.0, 2: 71.0, 3: 64.0, 4: 255.0}
0	78.0	77774.81113193177	74743.12495014875	{1: 107.0, 2: 102.0, 3: 81.0, 4: 255.0}
0	79.0	77775.08187837832	74744.08760084432	{1: 94.0, 2: 89.0, 3: 76.0, 4: 255.0}
0	80.0	77775.35262482488	74745.05025153988	{1: 71.0, 2: 73.0, 3: 60.0, 4: 255.0}
0	81.0	77775.62337127145	74746.01290223545	{1: 54.0, 2: 57.0, 3: 45.0, 4: 255.0}
0	82.0	77775.89411771801	74746.97555293102	{1: 49.0, 2: 52.0, 3: 40.0, 4: 255.0}
0	83.0	77776.16486416457	74747.93820362659	{1: 44.0, 2: 50.0, 3: 42.0, 4: 255.0}
0	84.0	77776.43561061112	74748.90085432214	{1: 32.0, 2: 37.0, 3: 42.0, 4: 255.0}
