fid	dist	x	y	value_s
0	0	77753.70644642232	74668.08632842934	{1: 251.4975128173828}
0	1.0	77753.97719286889	74669.04897912491	{1: 251.46499633789062}
0	2.0	77754.24793931545	74670.01162982048	{1: 251.33999633789062}
0	3.0	77754.518685762	74670.97428051605	{1: 251.33999633789062}
0	4.0	77754.78943220856	74671.9369312116	{1: 251.5175018310547}
0	5.0	77755.06017865513	74672.89958190717	{1: 251.20750427246094}
0	6.0	77755.33092510169	74673.86223260274	{1: 251.36500549316406}
0	7.0	77755.60167154825	74674.82488329831	{1: 251.52000427246094}
0	8.0	77755.8724179948	74675.78753399388	{1: 251.15750122070312}
0	9.0	77756.14316444137	74676.75018468944	{1: 250.7949981689453}
0	10.0	77756.41391088793	74677.71283538501	{1: 250.66500854492188}
0	11.0	77756.6846573345	74678.67548608058	{1: 250.52499389648438}
0	12.0	77756.95540378106	74679.63813677614	{1: 250.39999389648438}
0	13.0	77757.22615022762	74680.6007874717	{1: 250.27999877929688}
0	14.0	77757.49689667417	74681.56343816727	{1: 250.20750427246094}
0	15.0	77757.76764312074	74682.52608886284	{1: 250.15249633789062}
0	16.0	77758.0383895673	74683.48873955841	{1: 250.09750366210938}
0	17.0	77758.30913601386	74684.45139025398	{1: 250.0175018310547}
0	18.0	77758.57988246043	74685.41404094954	{1: 249.9300079345703}
0	19.0	77758.85062890698	74686.37669164511	{1: 249.86500549316406}
0	20.0	77759.12137535354	74687.33934234067	{1: 249.77000427246094}
0	21.0	77759.3921218001	74688.30199303624	{1: 249.6699981689453}
0	22.0	77759.66286824667	74689.2646437318	{1: 249.59500122070312}
0	23.0	77759.93361469323	74690.22729442737	{1: 249.5225067138672}
0	24.0	77760.20436113978	74691.18994512294	{1: 249.5124969482422}
0	25.0	77760.47510758635	74692.15259581851	{1: 249.4550018310547}
0	26.0	77760.74585403291	74693.11524651408	{1: 249.3925018310547}
0	27.0	77761.01660047947	74694.07789720965	{1: 249.41250610351562}
0	28.0	77761.28734692604	74695.0405479052	{1: 249.3574981689453}
0	29.0	77761.5580933726	74696.00319860077	{1: 249.29750061035156}
0	30.0	77761.82883981915	74696.96584929634	{1: 249.29750061035156}
0	31.0	77762.09958626571	74697.9284999919	{1: 249.302490234375}
0	32.0	77762.37033271228	74698.89115068747	{1: 249.27999877929688}
0	33.0	77762.64107915884	74699.85380138304	{1: 249.27749633789062}
0	34.0	77762.9118256054	74700.81645207861	{1: 249.23500061035156}
0	35.0	77763.18257205196	74701.77910277418	{1: 253.7415008544922}
0	36.0	77763.45331849852	74702.74175346973	{1: 255.74346923828125}
0	37.0	77763.72406494508	74703.7044041653	{1: 255.9499969482422}
0	38.0	77763.99481139165	74704.66705486087	{1: 252.14999389648438}
0	39.0	77764.26555783821	74705.62970555644	{1: 255.87750244140625}
0	40.0	77764.53630428476	74706.592356252	{1: 251.6300048828125}
0	41.0	77764.80705073132	74707.55500694757	{1: 247.96249389648438}
0	42.0	77765.07779717789	74708.51765764314	{1: 247.70750427246094}
0	43.0	77765.34854362445	74709.4803083387	{1: 249.03488159179688}
0	44.0	77765.61929007102	74710.44295903426	{1: 253.285400390625}
0	45.0	77765.89003651757	74711.40560972983	{1: 257.1482238769531}
0	46.0	77766.16078296413	74712.3682604254	{1: 261.61749267578125}
0	47.0	77766.4315294107	74713.33091112097	{1: 263.2975158691406}
0	48.0	77766.70227585726	74714.29356181654	{1: 263.5824890136719}
0	49.0	77766.97302230382	74715.2562125121	{1: 262.05499267578125}
0	50.0	77767.24376875038	74716.21886320767	{1: 261.6824951171875}
0	51.0	77767.51451519693	74717.18151390323	{1: 262.0474853515625}
0	52.0	77767.7852616435	74718.1441645988	{1: 262.9725036621094}
0	53.0	77768.05600809006	74719.10681529436	{1: 263.760009765625}
0	54.0	77768.32675453663	74720.06946598993	{1: 262.7174987792969}
0	55.0	77768.59750098319	74721.0321166855	{1: 260.6925048828125}
0	56.0	77768.86824742974	74721.99476738107	{1: 260.6925048828125}
0	57.0	77769.1389938763	74722.95741807664	{1: 259.3374938964844}
0	58.0	77769.40974032287	74723.9200687722	{1: 259.5950012207031}
0	59.0	77769.68048676943	74724.88271946776	{1: 258.1474914550781}
0	60.0	77769.951233216	74725.84537016333	{1: 254.239990234375}
0	61.0	77770.22197966254	74726.8080208589	{1: 251.08999633789062}
0	62.0	77770.4927261091	74727.77067155446	{1: 248.484619140625}
0	63.0	77770.76347255567	74728.73332225003	{1: 245.32461547851562}
0	64.0	77771.03421900223	74729.6959729456	{1: 244.1635284423828}
0	65.0	77771.3049654488	74730.65862364117	{1: 244.13255310058594}
0	66.0	77771.57571189535	74731.62127433674	{1: 244.10902404785156}
0	67.0	77771.84645834191	74732.58392503229	{1: 244.09500122070312}
0	68.0	77772.11720478848	74733.54657572786	{1: 244.17222595214844}
0	69.0	77772.38795123504	74734.50922642343	{1: 244.22723388671875}
0	70.0	77772.6586976816	74735.471877119	{1: 244.17250061035156}
0	71.0	77772.92944412817	74736.43452781456	{1: 244.0124969482422}
0	72.0	77773.20019057472	74737.39717851013	{1: 243.8524932861328}
0	73.0	77773.47093702128	74738.3598292057	{1: 243.82749938964844}
0	74.0	77773.74168346784	74739.32247990127	{1: 244.4375}
0	75.0	77774.01242991441	74740.28513059682	{1: 243.69000244140625}
0	76.0	77774.28317636097	74741.24778129239	{1: 243.58999633789062}
0	77.0	77774.55392280752	74742.21043198796	{1: 243.83999633789062}
0	78.0	77774.82466925409	74743.17308268353	{1: 244.14999389648438}
0	79.0	77775.09541570065	74744.1357333791	{1: 244.30166625976562}
0	80.0	77775.36616214721	74745.09838407466	{1: 246.5641632080078}
0	81.0	77775.63690859378	74746.06103477023	{1: 247.35629272460938}
0	82.0	77775.90765504033	74747.02368546579	{1: 249.49879455566406}
0	83.0	77776.17840148689	74747.98633616135	{1: 253.0063018798828}
0	84.0	77776.44914793345	74748.94898685692	{1: 253.75}
0	85.0	77776.71989438002	74749.91163755249	{1: 252.77499389648438}
0	86.0	77776.99064082658	74750.87428824806	{1: 252.76634216308594}
0	87.0	77777.26138727315	74751.83693894363	{1: 254.27999877929688}
0	88.0	77777.5321337197	74752.7995896392	{1: 255.53250122070312}
0	89.0	77777.80288016626	74753.76224033476	{1: 255.8824920654297}
0	90.0	77778.07362661282	74754.72489103032	{1: 256.44500732421875}
0	91.0	77778.34437305939	74755.68754172589	{1: 256.9524841308594}
0	92.0	77778.61511950595	74756.65019242145	{1: 256.67498779296875}
0	93.0	77778.8858659525	74757.61284311702	{1: 255.61749267578125}
0	94.0	77779.15661239906	74758.57549381259	{1: 253.20875549316406}
0	95.0	77779.42735884563	74759.53814450816	{1: 247.89694213867188}
0	96.0	77779.69810529219	74760.50079520373	{1: 243.67767333984375}
0	97.0	77779.96885173875	74761.4634458993	{1: 242.96449279785156}
0	98.0	77780.2395981853	74762.42609659485	{1: 243.08242797851562}
0	99.0	77780.51034463187	74763.38874729042	{1: 243.3115692138672}
0	100.0	77780.78109107843	74764.35139798599	{1: 244.12635803222656}
0	101.0	77781.051837525	74765.31404868155	{1: 245.43190002441406}
0	102.0	77781.32258397156	74766.27669937712	{1: 244.80711364746094}
0	103.0	77781.59333041811	74767.23935007269	{1: 243.85060119628906}
0	104.0	77781.86407686467	74768.20200076826	{1: 243.50450134277344}
0	105.0	77782.13482331124	74769.16465146383	{1: 248.33309936523438}
0	106.0	77782.4055697578	74770.12730215938	{1: 250.51893615722656}
0	107.0	77782.67631620436	74771.08995285495	{1: 251.5074920654297}
0	108.0	77782.94706265093	74772.05260355052	{1: 251.90499877929688}
0	109.0	77783.21780909748	74773.01525424609	{1: 253.5074920654297}
0	110.0	77783.48855554404	74773.97790494165	{1: 253.5074920654297}
0	111.0	77783.7593019906	74774.94055563722	{1: 252.3175048828125}
0	112.0	77784.03004843717	74775.90320633279	{1: 251.60000610351562}
0	113.0	77784.30079488373	74776.86585702834	{1: 249.37750244140625}
0	114.0	77784.57154133028	74777.82850772391	{1: 247.1374969482422}
0	115.0	77784.84228777685	74778.79115841948	{1: 251.42750549316406}
0	116.0	77785.11303422341	74779.75380911505	{1: 258.38250732421875}
0	117.0	77785.38378066997	74780.71645981062	{1: 258.9674987792969}
0	118.0	77785.65452711654	74781.67911050619	{1: 260.2200012207031}
0	119.0	77785.92527356309	74782.64176120175	{1: 260.9849853515625}
0	120.0	77786.19602000965	74783.60441189732	{1: 262.3275146484375}
0	121.0	77786.46676645621	74784.56706259288	{1: 263.7749938964844}
0	122.0	77786.73751290278	74785.52971328844	{1: 264.20501708984375}
0	123.0	77787.00825934934	74786.49236398401	{1: 263.8000183105469}
0	124.0	77787.27900579589	74787.45501467958	{1: 264.2875061035156}
0	125.0	77787.54975224246	74788.41766537515	{1: 265.3999938964844}
0	126.0	77787.82049868902	74789.38031607072	{1: 265.5350036621094}
0	127.0	77788.09124513558	74790.34296676629	{1: 265.1925048828125}
0	128.0	77788.36199158215	74791.30561746185	{1: 264.30999755859375}
0	129.0	77788.63273802871	74792.26826815741	{1: 262.80999755859375}
0	130.0	77788.90348447526	74793.23091885298	{1: 261.7699890136719}
0	131.0	77789.17423092182	74794.19356954854	{1: 259.6300048828125}
0	132.0	77789.44497736839	74795.15622024411	{1: 258.510009765625}
0	133.0	77789.71572381495	74796.11887093968	{1: 258.0050048828125}
0	134.0	77789.98647026152	74797.08152163525	{1: 258.05499267578125}
0	135.0	77790.25721670807	74798.04417233082	{1: 256.0400085449219}
0	136.0	77790.52796315463	74799.00682302639	{1: 255.86749267578125}
0	137.0	77790.7987096012	74799.96947372194	{1: 255.86749267578125}
0	138.0	77791.06945604776	74800.93212441751	{1: 257.3125}
0	139.0	77791.34020249432	74801.89477511308	{1: 257.44500732421875}
0	140.0	77791.61094894087	74802.85742580864	{1: 257.7200012207031}
0	141.0	77791.88169538743	74803.82007650421	{1: 257.4725036621094}
0	142.0	77792.152441834	74804.78272719978	{1: 257.177490234375}
0	143.0	77792.42318828056	74805.74537789535	{1: 258.5}
0	144.0	77792.69393472713	74806.70802859092	{1: 260.0374755859375}
