fid	dist	x	y	value_s
0	0	77702.93732956829	74697.33306600396	{1: 248.8699951171875}
0	1.0	77703.59179834409	74698.0891550341	{1: 247.92459106445312}
0	2.0	77704.2462671199	74698.84524406424	{1: 247.77708435058594}
0	3.0	77704.9007358957	74699.60133309438	{1: 249.04864501953125}
0	4.0	77705.5552046715	74700.35742212452	{1: 253.95986938476562}
0	5.0	77706.20967344732	74701.11351115466	{1: 256.30499267578125}
0	6.0	77706.86414222312	74701.8696001848	{1: 256.30499267578125}
0	7.0	77707.51861099892	74702.62568921494	{1: 255.8249969482422}
0	8.0	77708.17307977473	74703.38177824508	{1: 255.3625030517578}
0	9.0	77708.82754855053	74704.13786727522	{1: 255.1090087890625}
0	10.0	77709.48201732633	74704.89395630536	{1: 254.86651611328125}
0	11.0	77710.13648610214	74705.6500453355	{1: 254.4449920654297}
0	12.0	77710.79095487794	74706.40613436564	{1: 254.19000244140625}
0	13.0	77711.44542365374	74707.16222339578	{1: 249.34249877929688}
0	14.0	77712.09989242956	74707.91831242591	{1: 247.65000915527344}
0	15.0	77712.75436120536	74708.67440145605	{1: 247.58250427246094}
0	16.0	77713.40882998116	74709.4304904862	{1: 248.47750854492188}
0	17.0	77714.06329875697	74710.18657951633	{1: 247.54750061035156}
0	18.0	77714.71776753277	74710.94266854647	{1: 247.54750061035156}
0	19.0	77715.37223630857	74711.69875757661	{1: 247.1875}
0	20.0	77716.02670508438	74712.45484660675	{1: 247.17999267578125}
0	21.0	77716.68117386018	74713.21093563689	{1: 250.0050048828125}
0	22.0	77717.33564263598	74713.96702466703	{1: 249.83750915527344}
0	23.0	77717.9901114118	74714.72311369717	{1: 253.0175018310547}
0	24.0	77718.6445801876	74715.4792027273	{1: 253.47500610351562}
0	25.0	77719.2990489634	74716.23529175745	{1: 253.26499938964844}
0	26.0	77719.95351773921	74716.99138078759	{1: 253.26499938964844}
0	27.0	77720.60798651501	74717.74746981772	{1: 253.13999938964844}
0	28.0	77721.26245529082	74718.50355884786	{1: 251.91500854492188}
0	29.0	77721.91692406662	74719.259647878	{1: 252.60499572753906}
0	30.0	77722.57139284242	74720.01573690814	{1: 250.8163604736328}
0	31.0	77723.22586161824	74720.77182593828	{1: 248.8286590576172}
0	32.0	77723.88033039404	74721.52791496842	{1: 252.13365173339844}
0	33.0	77724.53479916984	74722.28400399856	{1: 252.15750122070312}
0	34.0	77725.18926794565	74723.0400930287	{1: 253.6074981689453}
0	35.0	77725.84373672145	74723.79618205884	{1: 253.6074981689453}
0	36.0	77726.49820549725	74724.55227108898	{1: 251.20750427246094}
0	37.0	77727.15267427306	74725.30836011912	{1: 249.78250122070312}
0	38.0	77727.80714304886	74726.06444914926	{1: 250.375}
0	39.0	77728.46161182466	74726.8205381794	{1: 247.36000061035156}
0	40.0	77729.11608060048	74727.57662720954	{1: 247.38499450683594}
0	41.0	77729.77054937628	74728.33271623967	{1: 247.35000610351562}
0	42.0	77730.42501815208	74729.08880526981	{1: 247.29750061035156}
0	43.0	77731.07948692789	74729.84489429995	{1: 247.3125}
0	44.0	77731.73395570369	74730.60098333009	{1: 247.3175048828125}
0	45.0	77732.38842447949	74731.35707236023	{1: 247.32249450683594}
0	46.0	77733.0428932553	74732.11316139037	{1: 247.3074951171875}
0	47.0	77733.6973620311	74732.86925042051	{1: 247.3074951171875}
0	48.0	77734.3518308069	74733.62533945065	{1: 247.3350067138672}
0	49.0	77735.00629958272	74734.38142848079	{1: 251.18174743652344}
0	50.0	77735.66076835852	74735.13751751093	{1: 253.93896484375}
0	51.0	77736.31523713432	74735.89360654107	{1: 255.65000915527344}
0	52.0	77736.96970591013	74736.6496955712	{1: 256.0}
0	53.0	77737.62417468593	74737.40578460135	{1: 256.49749755859375}
0	54.0	77738.27864346173	74738.16187363148	{1: 257.4750061035156}
0	55.0	77738.93311223754	74738.91796266162	{1: 257.4750061035156}
0	56.0	77739.58758101334	74739.67405169176	{1: 257.2598876953125}
0	57.0	77740.24204978914	74740.4301407219	{1: 256.2373962402344}
0	58.0	77740.89651856496	74741.18622975204	{1: 256.1575012207031}
0	59.0	77741.55098734076	74741.94231878218	{1: 255.64999389648438}
0	60.0	77742.20545611656	74742.69840781232	{1: 250.65750122070312}
0	61.0	77742.85992489237	74743.45449684246	{1: 249.57098388671875}
0	62.0	77743.51439366817	74744.2105858726	{1: 248.45750427246094}
0	63.0	77744.16886244397	74744.96667490274	{1: 248.45249938964844}
0	64.0	77744.82333121978	74745.72276393288	{1: 247.25250244140625}
0	65.0	77745.47779999558	74746.47885296302	{1: 246.41749572753906}
0	66.0	77746.13226877138	74747.23494199316	{1: 246.2949981689453}
0	67.0	77746.7867375472	74747.9910310233	{1: 246.2949981689453}
0	68.0	77747.441206323	74748.74712005343	{1: 246.28750610351562}
0	69.0	77748.0956750988	74749.50320908357	{1: 246.27000427246094}
0	70.0	77748.75014387461	74750.25929811371	{1: 246.2675018310547}
0	71.0	77749.40461265041	74751.01538714385	{1: 246.27999877929688}
0	72.0	77750.05908142621	74751.77147617399	{1: 246.27500915527344}
0	73.0	77750.71355020202	74752.52756520413	{1: 246.27999877929688}
0	74.0	77751.36801897782	74753.28365423427	{1: 246.2624969482422}
0	75.0	77752.02248775362	74754.03974326441	{1: 246.2624969482422}
0	76.0	77752.67695652944	74754.79583229455	{1: 246.2624969482422}
0	77.0	77753.33142530524	74755.55192132469	{1: 246.63999938964844}
0	78.0	77753.98589408105	74756.30801035483	{1: 247.04000854492188}
0	79.0	77754.64036285685	74757.06409938497	{1: 247.00750732421875}
0	80.0	77755.29483163265	74757.8201884151	{1: 246.60250854492188}
0	81.0	77755.94930040847	74758.57627744525	{1: 247.40000915527344}
0	82.0	77756.60376918426	74759.33236647538	{1: 247.41749572753906}
0	83.0	77757.25823796006	74760.08845550552	{1: 247.37750244140625}
0	84.0	77757.91270673588	74760.84454453566	{1: 247.37750244140625}
0	85.0	77758.56717551168	74761.6006335658	{1: 247.3175048828125}
0	86.0	77759.22164428748	74762.35672259594	{1: 246.9875030517578}
0	87.0	77759.87611306329	74763.11281162608	{1: 247.8000030517578}
0	88.0	77760.53058183909	74763.86890065622	{1: 247.5550079345703}
