fid	dist	x	y	value_s
0	0	77753.6387598107	74667.84566575545	{1: 251.52000427246094}
0	1.0	77753.90950625726	74668.80831645102	{1: 251.4975128173828}
0	2.0	77754.18025270382	74669.77096714659	{1: 251.37750244140625}
0	3.0	77754.45099915037	74670.73361784215	{1: 251.33999633789062}
0	4.0	77754.72174559694	74671.69626853771	{1: 251.5175018310547}
0	5.0	77754.9924920435	74672.65891923328	{1: 251.6824951171875}
0	6.0	77755.26323849006	74673.62156992884	{1: 251.36500549316406}
0	7.0	77755.53398493663	74674.58422062441	{1: 251.52000427246094}
0	8.0	77755.80473138318	74675.54687131998	{1: 251.15750122070312}
0	9.0	77756.07547782974	74676.50952201555	{1: 250.7949981689453}
0	10.0	77756.3462242763	74677.47217271112	{1: 250.66500854492188}
0	11.0	77756.61697072287	74678.43482340669	{1: 250.52499389648438}
0	12.0	77756.88771716943	74679.39747410224	{1: 250.39999389648438}
0	13.0	77757.15846361598	74680.36012479781	{1: 250.27999877929688}
0	14.0	77757.42921006255	74681.32277549338	{1: 250.20750427246094}
0	15.0	77757.69995650911	74682.28542618894	{1: 250.15249633789062}
0	16.0	77757.97070295567	74683.24807688451	{1: 250.08499145507812}
0	17.0	77758.24144940224	74684.21072758008	{1: 250.0175018310547}
0	18.0	77758.51219584879	74685.17337827565	{1: 249.9300079345703}
0	19.0	77758.78294229535	74686.13602897122	{1: 249.86500549316406}
0	20.0	77759.05368874191	74687.09867966677	{1: 249.77000427246094}
0	21.0	77759.32443518848	74688.06133036234	{1: 249.6699981689453}
0	22.0	77759.59518163504	74689.02398105791	{1: 249.59500122070312}
0	23.0	77759.86592808159	74689.98663175348	{1: 249.59500122070312}
0	24.0	77760.13667452816	74690.94928244904	{1: 249.56748962402344}
0	25.0	77760.40742097472	74691.91193314461	{1: 249.5124969482422}
0	26.0	77760.67816742128	74692.87458384018	{1: 249.4550018310547}
0	27.0	77760.94891386785	74693.83723453575	{1: 249.3925018310547}
0	28.0	77761.2196603144	74694.7998852313	{1: 249.41250610351562}
0	29.0	77761.49040676096	74695.76253592687	{1: 249.3574981689453}
0	30.0	77761.76115320752	74696.72518662244	{1: 249.29750061035156}
